Rk,Name,PA,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,Bobby Abreu\abreubo01,704,162,588,118,170,48,4,31,110,106,11,137,1,0,9,13,36,14,.289,.393,.543,.936,*9/H
2,Bobby Abreu\abreubo01,699,158,605,123,171,40,5,16,101,84,0,115,3,0,7,11,25,8,.283,.369,.445,.814,*9/HD
3,Bobby Abreu\abreubo01,685,157,572,102,176,50,6,20,85,104,9,117,3,0,6,11,31,12,.308,.413,.521,.934,*98/H
4,Bobby Abreu\abreubo01,695,158,577,99,173,35,1,20,101,109,13,126,2,0,7,13,22,9,.300,.409,.468,.877,*9
5,Bobby Abreu\abreubo01,667,154,573,88,146,41,1,20,78,87,3,132,2,0,5,13,24,10,.255,.352,.435,.787,*97D/H
6,Bobby Abreu\abreubo01,667,152,563,96,165,29,3,15,103,94,7,113,1,0,9,15,30,8,.293,.390,.435,.825,*9D7/H
7,Bobby Abreu\abreubo01,713,159,574,118,173,47,1,30,105,127,10,116,5,0,7,5,40,5,.301,.428,.544,.971,*9/H
8,Bobby Abreu\abreubo01,662,152,546,118,183,35,11,20,93,109,8,113,3,0,4,13,27,9,.335,.446,.549,.995,*9/DH
9,Bobby Abreu\abreubo01,719,162,588,104,168,37,1,24,102,117,15,134,6,0,8,7,31,9,.286,.405,.474,.879,*9/DH
10,Bobby Abreu\abreubo01,684,156,609,100,180,39,4,20,100,73,2,109,1,0,1,14,22,11,.296,.371,.471,.843,*9/HD
11,Bobby Abreu\abreubo01,589,151,497,68,155,29,6,17,74,84,14,133,0,4,4,6,19,10,.312,.409,.497,.906,*9H
12,Bobby Abreu\abreubo01,680,154,576,103,182,42,10,25,79,100,9,116,1,0,3,12,28,8,.316,.416,.554,.970,*9/H
13,Bobby Abreu\abreubo01,686,156,548,98,163,41,2,15,107,124,6,138,3,2,9,13,30,6,.297,.424,.462,.886,*9/H8D
14,Moises Alou\aloumo01,581,136,513,79,170,31,1,27,108,57,14,57,3,0,8,18,5,1,.331,.396,.554,.949,*9/DH
15,Moises Alou\aloumo01,598,143,540,87,152,28,2,21,96,49,7,83,2,0,7,15,9,4,.281,.339,.457,.797,*97/8H
16,Moises Alou\aloumo01,378,98,345,52,104,25,1,22,74,28,2,31,1,0,4,15,2,1,.301,.352,.571,.923,*97/HD
17,Aaron Altherr\altheaa01,285,105,243,28,44,11,1,8,38,36,0,91,4,0,2,13,3,2,.181,.295,.333,.628,*9H8/7
18,Ruben Amaro\amaroru02,427,126,374,43,82,15,6,7,34,37,1,54,9,4,2,11,11,5,.219,.303,.348,.651,*987H
19,Garret Anderson\anderga01,658,156,622,62,183,41,7,15,79,29,8,80,1,3,3,13,8,3,.294,.325,.455,.780,*97/H
20,Eric Anthony\anthoer01,483,137,440,45,105,15,1,19,80,38,5,98,1,0,4,7,5,4,.239,.298,.407,.705,*9H/87
21,Eric Anthony\anthoer01,540,145,486,70,121,19,4,15,66,49,2,88,2,0,2,9,3,5,.249,.319,.397,.716,*98H
22,Eric Anthony\anthoer01,277,84,239,26,46,8,0,10,29,29,3,78,2,1,6,4,5,0,.192,.279,.351,.630,*9H7
23,Nori Aoki\aokino01,674,155,597,80,171,20,3,8,37,55,1,40,11,8,3,9,20,12,.286,.356,.370,.726,*9/H8
24,Nori Aoki\aokino01,588,151,520,81,150,37,4,10,50,43,1,55,13,7,5,6,30,8,.288,.355,.433,.787,*9H87
25,Nori Aoki\aokino01,549,132,491,63,140,22,6,1,43,43,0,49,6,8,1,5,17,8,.285,.349,.360,.710,*9/DH7
26,Oswaldo Arcia\arciaos01,410,103,372,46,86,16,3,20,57,31,4,127,6,0,1,6,1,2,.231,.300,.452,.752,*9/HD
27,Harold Baines\baineha01,693,160,640,86,198,29,3,22,113,42,8,89,1,0,10,23,1,1,.309,.348,.467,.815,*9/HD
28,Harold Baines\baineha01,618,145,570,72,169,29,2,21,88,38,9,89,2,0,8,14,2,1,.296,.338,.465,.803,*9/DH
29,Jesse Barfield\barfije01,654,159,590,89,155,25,3,28,84,58,7,141,3,1,2,13,3,5,.263,.331,.458,.788,*98H
30,Jesse Barfield\barfije01,520,137,468,62,114,21,5,18,56,41,6,108,1,4,6,10,7,3,.244,.302,.425,.728,*98/HD
31,Jesse Barfield\barfije01,570,153,476,69,117,21,2,25,78,82,4,150,5,2,5,6,4,3,.246,.359,.456,.815,*9H/8
32,Jesse Barfield\barfije01,321,84,284,37,64,12,0,17,48,36,6,80,0,0,1,11,1,0,.225,.312,.447,.759,*9/H
33,Jesse Barfield\barfije01,615,150,521,79,122,23,1,23,67,87,6,150,3,1,3,8,5,5,.234,.345,.415,.760,*98/HD7
34,Jesse Barfield\barfije01,612,155,539,94,156,34,9,27,84,66,5,143,4,0,3,14,22,8,.289,.369,.536,.905,*9/8H
35,Jesse Barfield\barfije01,671,158,589,107,170,35,2,40,108,69,5,146,8,0,5,9,8,8,.289,.368,.559,.927,*98/H
36,Brandon Barnes\barnebr02,313,132,292,37,75,17,4,8,27,15,0,100,0,6,0,11,5,4,.257,.293,.425,.718,*H97/8D
37,Kevin Bass\basske01,406,124,361,43,84,10,4,10,40,36,8,56,4,2,3,12,7,4,.233,.307,.366,.673,*9H7
38,Kevin Bass\basske01,348,87,313,42,94,19,4,5,44,29,3,44,1,1,4,2,11,4,.300,.357,.435,.792,*97/H
39,Kevin Bass\basske01,258,111,229,31,65,18,0,3,37,26,3,31,1,2,0,4,7,1,.284,.359,.402,.761,*H97/8
40,Kevin Bass\basske01,654,157,592,83,168,31,5,19,85,53,13,77,4,0,5,15,21,8,.284,.344,.449,.793,*9/H
41,Kevin Bass\basske01,640,157,591,83,184,33,5,20,79,38,11,72,6,1,4,15,22,13,.311,.357,.486,.842,*98/H7
42,Kevin Bass\basske01,595,157,541,57,138,27,2,14,72,42,10,65,6,3,3,16,31,6,.255,.314,.390,.704,*9H
43,Danny Bautista\bautida01,388,131,351,54,100,20,7,11,59,25,4,50,3,4,5,11,6,2,.285,.333,.476,.809,*978H
44,Danny Bautista\bautida01,582,141,539,64,154,27,1,11,65,35,2,66,4,1,3,20,6,2,.286,.332,.401,.733,*9/H8D
45,Danny Bautista\bautida01,289,89,271,28,55,9,0,7,27,12,0,68,0,6,0,6,4,1,.203,.237,.314,.550,*9/H7D
46,Danny Bautista\bautida01,314,88,284,29,78,16,3,4,36,21,2,50,4,2,3,7,3,2,.275,.330,.394,.724,*98H/7
47,Jose Bautista\bautijo02,666,153,543,108,136,29,3,40,114,110,2,106,5,0,8,19,8,2,.250,.377,.536,.913,*9D/H
48,Jose Bautista\bautijo02,517,116,423,68,99,24,1,22,69,87,1,103,3,0,4,21,2,2,.234,.366,.452,.817,*9D/3
49,Jose Bautista\bautijo02,399,122,325,52,66,18,0,13,48,67,2,111,6,0,1,2,4,3,.203,.348,.378,.727,*9H57/D34
50,Jose Bautista\bautijo02,655,149,513,105,155,24,2,43,103,132,24,111,6,0,4,8,9,5,.302,.447,.608,1.056,*95/D
51,Jose Bautista\bautijo02,673,155,553,101,158,27,0,35,103,104,11,96,9,1,6,18,6,2,.286,.403,.524,.928,*9D83/H
52,Jose Bautista\bautijo02,683,161,569,109,148,35,3,54,124,100,2,116,10,0,4,10,9,2,.260,.378,.617,.995,*95/3D8
53,Jose Bautista\bautijo02,399,92,332,64,80,14,0,27,65,59,2,63,4,0,4,11,5,2,.241,.358,.527,.886,*9/3D5
54,Jose Bautista\bautijo02,528,118,452,82,117,24,0,28,73,69,2,84,3,0,4,13,7,2,.259,.358,.498,.856,*9/D53
55,Jose Bautista\bautijo02,686,157,587,92,119,27,0,23,65,84,3,170,8,0,7,16,6,3,.203,.308,.366,.674,*9D/5H3
56,Derek Bell\bellde01,622,144,546,87,145,31,1,18,69,65,0,125,6,2,3,14,8,4,.266,.348,.425,.773,*9/8H1
57,Derek Bell\bellde01,684,158,627,84,165,40,3,17,113,40,8,123,8,0,9,18,29,3,.263,.311,.418,.729,*9/8H
58,Derek Bell\bellde01,547,129,493,67,136,29,3,15,71,40,3,94,12,0,2,16,15,7,.276,.344,.438,.782,*98/HD
59,Derek Bell\bellde01,499,112,452,63,151,21,2,8,86,33,2,71,8,0,6,10,27,9,.334,.385,.442,.827,*98/H
60,Derek Bell\bellde01,695,156,630,111,198,41,2,22,108,51,0,126,4,0,10,14,13,3,.314,.364,.490,.855,*9/H
61,Derek Bell\bellde01,568,128,509,61,120,22,0,12,66,50,1,129,4,0,5,20,18,6,.236,.306,.350,.656,*9/H
62,Albert Belle\belleal01,622,141,559,71,157,37,1,23,103,52,11,68,4,0,7,17,0,5,.281,.342,.474,.817,*9D
63,Albert Belle\belleal01,722,161,610,108,181,36,1,37,117,101,15,82,7,0,4,19,17,3,.297,.400,.541,.941,*9/D
64,Cody Bellinger\bellico01,661,156,558,121,170,34,3,47,115,95,21,108,3,0,4,10,15,5,.305,.406,.629,1.035,*938/H
65,Carlos Beltran\beltrca01,600,145,554,79,164,30,3,24,84,38,1,90,1,1,6,12,2,1,.296,.339,.491,.830,*9/HD
66,Carlos Beltran\beltrca01,531,133,478,57,132,34,1,19,67,45,2,85,2,0,6,12,0,0,.276,.337,.471,.808,*9/DH
67,Carlos Beltran\beltrca01,619,151,547,83,147,26,1,32,97,65,15,124,2,1,4,9,13,6,.269,.346,.495,.842,*9H/8D
68,Carlos Beltran\beltrca01,598,142,520,78,156,39,6,22,84,71,7,88,3,0,4,18,4,2,.300,.385,.525,.910,*9/HD
69,Marvin Benard\benarma01,327,121,286,41,92,21,1,3,36,34,1,39,2,4,1,3,11,4,.322,.396,.434,.830,*9H7/8D
70,Todd Benzinger\benzito01,253,73,223,36,62,11,1,8,43,22,3,41,2,3,3,5,5,4,.278,.344,.444,.788,*97H/83
71,Lance Berkman\berkmla01,587,145,488,90,147,23,2,31,94,92,17,93,3,0,4,7,2,6,.301,.412,.547,.959,*937/HD
72,Lance Berkman\berkmla01,417,114,353,76,105,28,1,21,67,56,1,73,1,0,7,6,6,2,.297,.388,.561,.949,*97H/3
73,Mookie Betts\bettsmo01,730,158,672,122,214,42,5,31,113,49,1,80,2,0,7,12,26,4,.318,.363,.534,.897,*9/H
74,Mookie Betts\bettsmo01,712,153,628,101,166,46,2,24,102,77,9,79,2,0,5,9,26,3,.264,.344,.459,.803,*9
75,Mookie Betts\bettsmo01,706,150,597,135,176,40,5,29,80,97,6,101,3,0,9,11,16,3,.295,.391,.524,.915,*98/DH
76,Mookie Betts\bettsmo01,614,136,520,129,180,47,5,32,80,81,8,91,8,0,5,5,30,6,.346,.438,.640,1.078,*98/HD4
77,Dante Bichette\bicheda01,475,134,445,53,106,18,3,15,59,22,4,107,1,1,6,9,14,8,.238,.272,.393,.665,*9H/85
78,Dante Bichette\bicheda01,694,159,633,114,198,39,3,31,141,45,4,105,6,0,10,18,31,12,.313,.359,.531,.890,*97/H
79,Dante Bichette\bicheda01,581,141,538,93,167,43,5,21,89,28,2,99,7,0,8,7,14,8,.310,.348,.526,.874,*9/8H
80,Dante Bichette\bicheda01,509,116,484,74,147,33,2,27,95,19,3,70,4,0,2,17,21,8,.304,.334,.548,.882,*9/H
81,Dante Bichette\bicheda01,411,112,387,37,111,27,2,5,41,16,3,74,3,2,3,13,18,7,.287,.318,.406,.724,*9H/D8
82,Dante Bichette\bicheda01,636,155,575,80,169,32,2,23,90,49,3,91,4,1,7,21,5,2,.294,.350,.477,.826,*9D/H
83,Charlie Blackmon\blackch02,634,140,580,112,182,42,7,32,86,40,1,104,9,0,5,11,2,5,.314,.364,.576,.940,*9/HD
84,Casey Blake\blakeca01,583,147,523,72,126,32,1,23,58,43,3,116,10,2,5,9,4,5,.241,.308,.438,.746,*9/5H3
85,Casey Blake\blakeca01,456,109,401,63,113,20,1,19,68,45,5,93,4,1,5,11,6,0,.282,.356,.479,.835,*9/3DH
86,Brennan Boesch\boescbr01,512,133,464,49,119,26,3,14,67,40,5,99,5,0,3,5,7,1,.256,.320,.416,.736,*97D/H
87,Brennan Boesch\boescbr01,503,132,470,52,113,22,2,12,54,26,1,104,5,0,2,11,6,3,.240,.286,.372,.659,*9/DH
88,Brian Bogusevic\bogusbr01,404,146,355,39,72,9,2,7,28,41,1,96,7,0,1,6,15,4,.203,.297,.299,.596,*9H8/17
89,Jorge Bonifacio\bonifjo01,422,113,384,55,98,15,1,17,40,35,0,118,2,0,1,8,1,1,.255,.320,.432,.752,*9H/7D8
90,Jorge Bonifacio\bonifjo01,270,69,236,31,53,16,2,4,23,29,1,71,2,1,2,3,0,1,.225,.312,.360,.672,*9/7DH
91,Bobby Bonilla\bonilbo01,686,160,625,112,175,39,7,32,120,45,9,103,1,0,15,11,4,3,.280,.322,.518,.841,*95/3H
92,Bobby Bonilla\bonilbo01,506,128,438,62,109,23,0,19,70,66,10,73,1,0,1,11,4,3,.249,.348,.432,.779,*9/3H
93,Bobby Bonilla\bonilbo01,693,159,595,107,171,27,5,28,116,75,7,85,5,0,17,13,1,3,.287,.363,.491,.853,*9D/35H
94,Bobby Bonilla\bonilbo01,582,139,502,81,133,21,3,34,87,72,11,96,0,0,8,12,3,3,.265,.352,.522,.874,*95/3H
95,Bobby Bonilla\bonilbo01,680,157,577,102,174,44,6,18,100,90,8,67,2,0,11,14,2,4,.302,.391,.492,.883,*95/3H
96,Joe Borchard\borchjo01,270,114,239,33,55,7,1,10,28,28,3,69,3,0,0,5,0,3,.230,.319,.393,.712,9H7/8D3
97,Peter Bourjos\bourjpe01,383,123,355,40,89,20,7,5,23,17,2,91,4,6,1,6,6,4,.251,.292,.389,.681,*98/H
98,Milton Bradley\bradlmi01,405,96,351,53,97,14,2,14,52,51,1,65,2,0,1,13,10,2,.276,.370,.447,.818,*9/HD
99,Milton Bradley\bradlmi01,473,124,393,61,101,17,1,12,40,66,4,95,11,2,1,10,2,3,.257,.378,.397,.775,*9H/8
100,Darren Bragg\braggda01,465,129,409,51,114,29,3,8,57,42,0,99,6,4,4,16,5,3,.279,.351,.423,.774,*98H/7D
101,Glenn Braggs\bragggl01,294,72,272,30,71,14,0,10,42,14,0,60,5,1,2,6,6,4,.261,.307,.423,.730,*9D
102,Glenn Braggs\bragggl01,565,132,505,67,136,28,7,13,77,47,7,96,4,2,7,20,12,5,.269,.332,.430,.762,*9/DH
103,Russell Branyan\branyru01,282,91,241,37,55,11,0,18,36,34,1,89,3,1,3,1,2,0,.228,.327,.498,.825,*95H/37
