Rk,Name,PA,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
104,Ryan Braun\braunry02,568,140,506,87,144,27,3,25,84,54,4,115,4,0,3,20,24,4,.285,.356,.498,.854,*9/HD
105,Ryan Braun\braunry02,580,135,530,68,141,30,6,19,81,41,3,113,6,0,3,17,11,5,.266,.324,.453,.777,*9/H8D
106,Hubie Brooks\brookhu01,628,151,588,61,164,35,2,20,90,35,3,108,1,0,4,21,7,3,.279,.318,.447,.766,*9/H
107,Hubie Brooks\brookhu01,593,148,542,56,145,30,1,14,70,39,2,108,4,0,8,15,6,11,.268,.317,.404,.721,*9/H
108,Hubie Brooks\brookhu01,618,153,568,74,151,28,1,20,91,33,10,108,6,0,11,13,2,5,.266,.307,.424,.732,*9/H
109,Hubie Brooks\brookhu01,407,103,357,48,85,11,1,16,50,44,8,62,3,0,3,7,3,1,.238,.324,.409,.733,*9/H
110,Adrian Brown\brownad01,267,116,226,34,61,5,2,4,17,33,2,39,1,6,1,5,5,3,.270,.364,.363,.727,*9H8/7
111,Brant Brown\brownbr01,371,130,341,49,79,20,3,16,58,22,3,114,4,0,4,4,3,4,.232,.283,.449,.732,9H8/3D
112,Emil Brown\brownem01,609,150,545,75,156,31,5,17,86,48,1,108,8,1,7,14,10,1,.286,.349,.455,.804,*97D/H
113,Mike Brown\brownmi02,397,117,358,52,109,27,3,9,53,29,4,48,1,6,3,16,2,3,.304,.355,.472,.828,*9H/D87
114,Mike Brown\brownmi02,273,87,243,18,53,7,0,4,26,27,3,32,0,0,3,9,2,3,.218,.293,.296,.589,*9H
115,Jay Bruce\bruceja01,664,157,585,84,150,27,2,32,97,71,14,158,5,1,2,8,8,7,.256,.341,.474,.814,*9/H
116,Jay Bruce\bruceja01,633,155,560,89,141,35,5,34,99,62,11,155,4,0,7,5,9,3,.252,.327,.514,.841,*9/H
117,Jay Bruce\bruceja01,361,94,319,31,71,18,1,9,37,41,4,75,0,0,1,3,2,3,.223,.310,.370,.680,*93/HD
118,Jay Bruce\bruceja01,617,146,555,82,141,29,2,36,101,57,0,139,2,0,3,11,1,1,.254,.324,.508,.832,*93/DH
119,Jay Bruce\bruceja01,697,160,626,89,164,43,1,30,109,63,13,185,2,0,5,9,7,3,.262,.329,.478,.807,*9
120,Jay Bruce\bruceja01,545,137,493,71,107,21,1,18,66,44,5,149,2,1,5,8,12,3,.217,.281,.373,.654,*9/H3
121,Jay Bruce\bruceja01,649,157,580,72,131,35,4,26,87,58,8,145,2,0,9,10,9,5,.226,.294,.434,.729,*9/HD
122,Jay Bruce\bruceja01,452,108,413,63,105,17,1,21,52,33,1,110,4,0,2,8,4,6,.254,.314,.453,.767,*987/H
123,Jay Bruce\bruceja01,589,147,539,74,135,27,6,33,99,44,7,126,3,0,3,14,4,2,.250,.309,.506,.815,*9/HD8
124,Jay Bruce\bruceja01,387,101,345,47,77,15,2,22,58,38,2,75,2,1,1,5,3,3,.223,.303,.470,.773,*9/H
125,Jay Bruce\bruceja01,573,148,509,80,143,23,5,25,70,58,5,136,1,0,5,12,5,4,.281,.353,.493,.846,*9/H
126,Tom Brunansky\brunato01,519,142,459,54,105,24,1,16,70,49,2,72,3,0,8,8,1,2,.229,.303,.390,.692,*9/H8D
127,Tom Brunansky\brunato01,597,148,518,66,132,27,5,16,73,66,7,115,4,0,9,13,5,10,.255,.338,.419,.757,*9/DH8
128,Tom Brunansky\brunato01,614,155,532,83,138,22,2,32,85,74,5,104,4,0,4,12,11,11,.259,.352,.489,.841,*97D/H
129,Tom Brunansky\brunato01,251,80,224,20,41,7,3,6,29,25,0,59,0,2,0,5,3,4,.183,.265,.321,.586,*9/HD
130,Tom Brunansky\brunato01,651,157,567,71,137,28,4,27,90,71,7,86,0,0,13,12,5,3,.242,.320,.448,.767,*9/H8
131,Tom Brunansky\brunato01,533,138,458,47,122,31,3,15,74,66,2,96,0,2,7,11,2,5,.266,.354,.445,.799,*93DH
132,Tom Brunansky\brunato01,622,158,556,67,133,29,3,20,85,59,3,107,2,0,5,10,5,9,.239,.312,.410,.722,*9/H83
133,Tom Brunansky\brunato01,655,157,593,69,152,28,1,23,75,53,4,98,1,1,7,15,12,4,.256,.315,.423,.738,*9/HD8
134,Tom Brunansky\brunato01,669,157,572,74,137,23,4,23,85,86,6,93,4,1,6,17,17,8,.240,.340,.414,.754,*9/7D
135,Travis Buck\bucktr01,334,82,285,41,82,22,5,7,34,39,2,66,4,2,4,9,4,1,.288,.377,.474,.850,*97/8H
136,Jay Buhner\buhneja01,665,157,540,104,131,18,2,40,109,119,3,175,5,0,1,23,0,0,.243,.383,.506,.889,*9/HD
137,Jay Buhner\buhneja01,539,126,470,86,123,23,0,40,121,60,7,120,1,2,6,15,0,1,.262,.343,.566,.909,*9/DH
138,Jay Buhner\buhneja01,286,72,244,33,59,7,1,15,45,38,0,71,1,1,2,2,0,0,.242,.344,.463,.807,*9/HD
139,Jay Buhner\buhneja01,436,101,358,74,100,23,4,21,68,66,3,63,5,2,5,7,0,1,.279,.394,.542,.936,*9/DH8
140,Jay Buhner\buhneja01,343,87,266,37,59,11,0,14,38,69,0,100,5,0,3,6,0,0,.222,.388,.421,.809,*9/H3
141,Jay Buhner\buhneja01,667,150,564,107,153,29,0,44,138,84,5,159,9,0,10,11,0,1,.271,.369,.557,.926,*9/D
142,Jay Buhner\buhneja01,675,158,563,90,153,28,3,27,98,100,11,144,2,2,8,12,2,5,.272,.379,.476,.855,*9D/H
143,Jay Buhner\buhneja01,430,112,364,50,92,20,0,26,82,59,3,98,4,1,2,10,0,2,.253,.361,.522,.883,*9H/D
144,Jay Buhner\buhneja01,471,137,406,64,99,14,4,27,77,53,5,117,6,2,4,10,0,1,.244,.337,.498,.834,*9H/8
145,Jay Buhner\buhneja01,299,85,261,36,56,13,1,13,38,28,1,93,6,1,3,5,1,1,.215,.302,.421,.723,*98/H7
146,Jay Buhner\buhneja01,629,152,543,69,132,16,3,25,79,71,2,146,6,1,8,12,0,6,.243,.333,.422,.755,*9/H8
147,Ellis Burks\burksel01,469,120,390,73,110,19,0,31,96,69,2,86,6,0,4,11,7,5,.282,.394,.569,.964,*9H/D
148,Ellis Burks\burksel01,458,122,393,74,135,21,5,24,96,56,5,49,1,0,8,10,5,1,.344,.419,.606,1.025,*9H/D
149,Ellis Burks\burksel01,574,146,499,75,137,24,4,17,74,60,2,97,4,3,8,11,6,9,.275,.352,.441,.793,*98/H
150,Jeromy Burnitz\burnije01,577,153,494,85,139,37,8,27,85,75,8,111,5,3,0,8,20,13,.281,.382,.553,.934,*98H/7
151,Jeromy Burnitz\burnije01,306,86,263,49,64,10,6,13,38,38,4,66,1,2,2,2,3,6,.243,.339,.475,.814,*98H
152,Jeromy Burnitz\burnije01,686,161,564,91,131,29,2,31,98,99,10,121,14,0,9,12,6,4,.232,.356,.456,.811,*9/HD
153,Jeromy Burnitz\burnije01,580,130,467,87,126,33,2,33,103,91,7,124,16,0,6,11,7,3,.270,.402,.561,.963,*9/D
154,Jeromy Burnitz\burnije01,550,154,479,65,103,15,0,19,54,58,5,135,10,1,2,11,10,7,.215,.311,.365,.677,*9H/D
155,Jeromy Burnitz\burnije01,691,161,609,92,160,28,1,38,125,70,7,158,4,1,7,9,7,4,.263,.339,.499,.838,*9/H8
156,Jeromy Burnitz\burnije01,671,160,605,84,156,31,2,24,87,57,3,109,3,1,5,12,5,4,.258,.322,.435,.757,*9/8H
157,Jeromy Burnitz\burnije01,651,154,562,104,141,32,4,34,100,80,9,150,5,0,4,8,0,4,.251,.347,.504,.851,*9/H
158,Jeromy Burnitz\burnije01,343,111,313,35,72,12,0,16,49,22,4,74,5,0,2,8,1,1,.230,.289,.422,.711,*9H
159,Randy Bush\bushra01,349,122,293,46,74,10,2,11,46,43,5,49,3,5,5,6,10,3,.253,.349,.413,.762,*9H/D37
160,Randy Bush\bushra01,444,141,391,60,103,17,4,14,54,48,6,73,3,0,2,16,5,8,.263,.347,.435,.782,*97H3/D8
161,Randy Bush\bushra01,466,136,394,51,103,20,3,14,51,58,14,49,9,0,5,8,8,6,.261,.365,.434,.799,*9HD/37
162,Marlon Byrd\byrdma01,579,147,532,75,155,35,5,24,88,31,2,144,8,1,7,11,2,4,.291,.336,.511,.847,*9H/87
163,Marlon Byrd\byrdma01,637,154,591,71,156,28,2,25,85,35,7,185,8,0,3,6,3,2,.264,.312,.445,.757,*9/HD
164,Melky Cabrera\cabreme01,397,133,378,43,106,22,1,7,47,17,3,41,1,1,0,14,2,0,.280,.313,.399,.713,*9H7/D
165,Melky Cabrera\cabreme01,278,78,250,28,70,17,0,6,39,20,0,38,3,0,5,10,1,1,.280,.335,.420,.755,*9/HD7
166,Miguel Cabrera\cabremi01,685,160,603,101,177,31,1,33,112,68,5,148,6,0,8,20,5,2,.294,.366,.512,.879,*97/HD
167,Ivan Calderon\caldeiv01,607,144,542,93,159,38,2,28,83,60,6,109,1,0,4,13,10,5,.293,.362,.526,.888,*9/7DH
168,Ivan Calderon\caldeiv01,301,73,264,40,56,14,0,14,35,34,2,66,0,0,3,6,4,4,.212,.299,.424,.723,*9/D7H
169,Kole Calhoun\calhoko01,552,137,491,71,102,18,2,19,57,53,2,133,1,0,6,9,6,2,.208,.283,.369,.652,*9/H8
170,Kole Calhoun\calhoko01,672,157,594,91,161,35,5,18,75,67,0,118,6,0,5,10,2,3,.271,.348,.438,.786,*9/DH
171,Kole Calhoun\calhoko01,632,152,552,92,128,29,1,33,74,70,7,162,7,0,2,14,4,1,.232,.325,.467,.792,*9/H8
172,Kole Calhoun\calhoko01,537,127,493,90,134,31,3,17,58,38,0,104,2,2,2,5,5,3,.272,.325,.450,.776,*9H/3
173,Kole Calhoun\calhoko01,654,155,569,77,139,23,2,19,71,71,4,134,8,0,6,10,5,1,.244,.333,.392,.725,*9/H
174,Kole Calhoun\calhoko01,686,159,630,78,161,23,2,26,83,45,1,164,5,2,4,6,4,1,.256,.308,.422,.731,*9/HD3
175,Mike Cameron\camermi01,343,76,308,47,84,23,2,12,39,29,0,85,4,1,1,5,13,1,.273,.342,.477,.819,*98
176,Jose Canseco\cansejo01,665,154,572,115,152,32,1,44,122,78,7,152,9,0,6,16,26,6,.266,.359,.556,.915,*9D/H
177,Jose Canseco\cansejo01,563,131,481,83,132,14,2,37,101,72,8,158,5,0,5,9,19,10,.274,.371,.543,.914,*9D/H
178,Jose Canseco\cansejo01,253,60,231,30,59,14,1,10,46,16,2,62,3,0,3,6,6,6,.255,.308,.455,.763,*9/DH1
179,Jose Canseco\cansejo01,705,158,610,120,187,34,0,42,124,78,10,128,10,1,6,15,40,16,.307,.391,.569,.959,*9D/H
180,Jose Canseco\cansejo01,258,65,227,40,61,9,1,17,57,23,4,69,2,0,6,4,6,3,.269,.333,.542,.875,*9/DH
181,Jose Canseco\cansejo01,512,119,439,74,107,15,0,26,87,63,2,128,6,0,4,16,6,7,.244,.344,.456,.799,*9D/H
182,Ezequiel Carrera\carreez01,310,110,270,47,67,9,1,6,23,27,0,70,4,7,2,8,7,4,.248,.323,.356,.679,*97H/8D
183,Joe Carter\cartejo01,483,111,435,70,118,25,2,27,103,33,6,64,2,0,13,6,11,0,.271,.317,.524,.841,*9/HD
184,Joe Carter\cartejo01,706,162,638,89,174,42,3,33,108,49,12,112,10,0,9,6,20,9,.273,.330,.503,.833,*97D
185,Joe Carter\cartejo01,669,155,603,92,153,33,5,33,121,47,5,113,9,0,10,10,8,3,.254,.312,.489,.802,*97/DH
186,Joe Carter\cartejo01,683,158,622,97,164,30,7,34,119,36,4,109,11,1,13,14,12,5,.264,.309,.498,.808,*9D/73H
187,Nicholas Castellanos\casteni01,678,157,620,88,185,46,5,23,89,49,5,151,6,0,3,8,2,1,.298,.354,.500,.854,*9D/H
188,Nicholas Castellanos\casteni01,664,151,615,100,178,58,3,27,73,41,1,143,5,0,3,12,2,2,.289,.337,.525,.863,*9D7
189,Rusney Castillo\castiru02,289,80,273,35,69,10,2,5,29,13,0,54,1,1,1,11,4,5,.253,.288,.359,.647,*97/H8D
190,Roger Cedeno\cedenro01,525,155,453,90,142,23,4,4,36,60,3,100,3,7,2,5,66,17,.313,.396,.408,.804,*9H87/4
191,Roger Cedeno\cedenro01,527,148,484,70,129,25,4,7,37,38,3,86,1,2,2,8,14,9,.267,.320,.378,.698,*9H8
192,Wes Chamberlain\chambwe01,306,96,284,34,80,20,2,12,45,17,3,51,1,0,4,8,2,1,.282,.320,.493,.813,*9H
193,Wes Chamberlain\chambwe01,289,76,275,26,71,18,0,9,41,10,2,55,1,1,2,7,4,0,.258,.285,.422,.707,*97/H
194,Endy Chavez\chaveen01,258,80,232,22,64,12,2,2,23,15,0,30,0,9,2,2,5,2,.276,.317,.371,.688,*9HD7/8
195,Lonnie Chisenhall\chiselo01,418,126,385,43,110,25,5,8,57,23,2,70,3,3,4,4,6,0,.286,.328,.439,.767,*9H/385
196,Shin-Soo Choo\choosh01,358,85,313,37,81,11,3,8,36,36,3,78,6,0,3,7,12,5,.259,.344,.390,.733,*9
197,Shin-Soo Choo\choosh01,646,144,550,81,165,31,2,22,90,83,11,118,11,0,2,11,22,7,.300,.401,.484,.885,*9/D
