Rk,Name,PA,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,Kurt Abbott\abbotku01,305,96,286,41,78,17,2,8,41,16,0,69,0,2,1,4,3,2,.273,.310,.430,.740,*4H/3689
2,Kurt Abbott\abbotku01,273,94,252,35,69,18,2,6,30,14,3,68,1,6,0,5,3,1,.274,.315,.433,.747,*4H7/65D
3,Brent Abernathy\abernbr01,504,117,463,46,112,18,4,2,40,25,0,46,6,8,2,8,10,4,.242,.288,.311,.599,*4/HD
4,Brent Abernathy\abernbr01,335,79,304,43,82,17,1,5,33,27,1,35,0,3,1,3,8,3,.270,.328,.382,.710,*4/H
5,Dustin Ackley\ackledu01,376,90,333,39,91,16,7,6,36,40,1,79,0,0,3,3,6,0,.273,.348,.417,.766,*4/HD3
6,Dustin Ackley\ackledu01,668,153,607,84,137,22,2,12,50,59,7,124,0,1,1,3,13,3,.226,.294,.328,.622,*43/DH
7,Hanser Alberto\alberha01,550,139,524,62,160,21,2,12,51,16,1,50,4,3,3,9,4,4,.305,.329,.422,.751,*45/H71D9
8,Ozzie Albies\albieoz01,702,160,640,102,189,43,8,24,86,54,6,112,4,0,4,2,15,4,.295,.352,.500,.852,*4/H
9,Ozzie Albies\albieoz01,684,158,639,105,167,40,5,24,72,36,0,116,5,1,3,9,14,3,.261,.305,.452,.757,*4/H
10,Manny Alexander\alexama02,268,94,242,35,57,9,1,3,23,20,0,30,2,4,0,2,11,4,.236,.299,.318,.617,*4H/65D
11,Edgardo Alfonzo\alfoned01,519,124,457,64,111,22,0,17,49,51,0,62,5,1,5,7,5,0,.243,.322,.403,.725,*4/H
12,Edgardo Alfonzo\alfoned01,650,150,544,109,176,40,2,25,94,95,1,70,5,0,6,12,3,2,.324,.425,.542,.967,*4/HD
13,Edgardo Alfonzo\alfoned01,726,158,628,123,191,41,1,27,108,85,2,85,3,1,9,14,9,2,.304,.385,.502,.886,*4
14,Luis Alicea\alicelu01,619,139,540,85,159,25,8,6,63,59,1,75,5,7,7,13,1,3,.294,.365,.404,.769,*4/5HD6
15,Luis Alicea\alicelu01,330,93,297,20,63,10,4,1,24,25,4,32,2,4,2,12,1,1,.212,.276,.283,.559,*4/H
16,Luis Alicea\alicelu01,511,132,419,64,113,20,3,6,44,63,0,61,7,13,9,10,13,10,.270,.367,.375,.742,*4/H
17,Luis Alicea\alicelu01,447,129,380,54,98,26,3,5,42,52,10,78,5,4,6,4,11,3,.258,.350,.382,.731,*4H
18,Luis Alicea\alicelu01,418,113,387,44,106,16,4,4,32,23,0,56,4,3,1,6,8,6,.274,.320,.367,.687,*4HD5
19,Luis Alicea\alicelu01,302,85,265,26,65,9,11,2,32,27,1,40,4,2,4,5,2,5,.245,.320,.385,.705,*4/H6
20,Luis Alicea\alicelu01,471,128,388,59,98,16,7,5,37,69,3,65,8,4,2,4,22,8,.253,.375,.369,.743,*4H5/D
21,Luis Alicea\alicelu01,421,115,362,50,101,19,3,3,46,47,2,54,4,1,7,9,11,1,.279,.362,.373,.735,*4H/75
22,Roberto Alomar\alomaro01,646,147,586,80,168,27,5,6,60,48,1,72,2,5,5,16,24,7,.287,.340,.381,.721,*4/H6
23,Roberto Alomar\alomaro01,677,157,575,113,193,34,12,20,100,80,5,71,4,9,9,9,30,6,.336,.415,.541,.956,*4
24,Roberto Alomar\alomaro01,655,149,590,73,157,24,4,11,53,57,4,83,1,6,1,12,16,4,.266,.331,.376,.708,*4/H
25,Roberto Alomar\alomaro01,699,153,588,132,193,43,4,22,94,90,10,65,1,8,12,14,17,6,.328,.411,.527,.938,*4D/H
26,Roberto Alomar\alomaro01,598,140,516,76,133,28,2,5,39,59,3,77,3,12,8,17,12,2,.258,.333,.349,.682,*4/H
27,Roberto Alomar\alomaro01,671,152,571,105,177,27,8,8,76,87,5,52,5,6,2,8,49,9,.310,.405,.427,.832,*4/HD
28,Roberto Alomar\alomaro01,611,143,545,84,145,24,6,9,41,47,5,83,3,16,0,15,24,6,.266,.328,.382,.709,*4/H
29,Roberto Alomar\alomaro01,469,112,412,64,137,23,2,14,60,40,2,43,3,7,7,10,9,3,.333,.390,.500,.890,*4/HD
30,Roberto Alomar\alomaro01,657,147,588,86,166,36,1,14,56,59,3,70,2,3,5,11,18,5,.282,.347,.418,.765,*4/HD
31,Roberto Alomar\alomaro01,702,158,623,82,184,27,1,7,56,53,4,76,1,17,8,10,42,17,.295,.347,.376,.723,*4/H
32,Roberto Alomar\alomaro01,694,159,563,138,182,40,3,24,120,99,3,96,7,12,13,13,37,6,.323,.422,.533,.955,*4/HD
