Rk,Name,PA,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
33,Roberto Alomar\alomaro01,719,161,637,88,188,41,11,9,69,57,3,86,4,16,5,5,53,11,.295,.354,.436,.791,*4/H
34,Roberto Alomar\alomaro01,683,153,589,109,192,35,6,17,93,80,5,67,5,4,5,13,55,15,.326,.408,.492,.900,*4/H
35,Roberto Alomar\alomaro01,455,107,392,78,120,25,4,8,38,51,2,41,2,7,3,14,19,8,.306,.386,.452,.838,*4/H
36,Roberto Alomar\alomaro01,577,130,517,71,155,24,7,13,66,47,3,45,0,6,7,16,30,3,.300,.354,.449,.803,*4/H
37,Roberto Alomar\alomaro01,697,155,610,111,189,40,2,19,89,64,4,82,6,11,6,19,39,4,.310,.378,.475,.853,*4/H
38,Jose Altuve\altuvjo01,717,161,640,108,216,42,5,24,96,60,11,70,7,3,7,15,30,10,.338,.396,.531,.928,*4D/H6
39,Jose Altuve\altuvjo01,599,137,534,84,169,29,2,13,61,55,4,79,6,3,1,17,17,4,.316,.386,.451,.837,*4/DH
40,Jose Altuve\altuvjo01,672,152,626,64,177,31,2,5,52,32,5,85,2,4,8,24,35,13,.283,.316,.363,.678,*4/D
41,Jose Altuve\altuvjo01,630,147,576,80,167,34,4,7,37,40,0,74,6,4,4,8,33,11,.290,.340,.399,.740,*4/H
42,Jose Altuve\altuvjo01,662,153,590,112,204,39,4,24,81,58,3,84,9,1,4,19,32,6,.346,.410,.547,.957,*4/DH
43,Jose Altuve\altuvjo01,707,158,660,85,225,47,3,7,59,36,7,53,5,1,5,20,56,9,.341,.377,.453,.830,*4/HD
44,Jose Altuve\altuvjo01,689,154,638,86,200,40,4,15,66,33,8,67,9,3,6,17,38,13,.313,.353,.459,.812,*4/D
45,Jose Altuve\altuvjo01,548,124,500,89,149,27,3,31,74,41,0,82,3,1,3,19,6,5,.298,.353,.550,.903,*4/HD6
46,Rich Amaral\amarari01,262,77,228,37,60,10,2,4,18,24,1,28,1,7,2,3,5,1,.263,.333,.377,.711,*4H7/6D83
47,Rich Amaral\amarari01,421,110,373,53,108,24,1,1,44,33,0,54,3,7,5,5,19,11,.290,.348,.367,.715,*456/HD3
48,Alexi Amarista\amarial01,300,106,275,36,66,15,5,5,32,17,1,42,0,6,2,2,8,4,.240,.282,.385,.668,4H768/9D5
49,Marlon Anderson\anderma02,535,145,482,59,130,27,3,6,67,41,5,60,3,4,5,6,19,3,.270,.328,.376,.703,*4H/D7
50,Marlon Anderson\anderma02,484,129,452,48,114,26,4,5,54,24,1,61,2,4,2,6,13,2,.252,.292,.361,.652,*4/H
51,Marlon Anderson\anderma02,574,147,522,69,153,30,2,11,61,35,5,74,2,10,5,12,8,5,.293,.337,.421,.758,*4/H
52,Marlon Anderson\anderma02,592,145,539,64,139,30,6,8,48,42,14,71,5,2,4,16,5,1,.258,.315,.380,.696,*4/H
53,Robert Andino\andinro01,431,127,384,41,81,13,1,7,28,37,0,100,2,7,1,13,5,5,.211,.283,.305,.588,*45H/678
54,Robert Andino\andinro01,511,139,457,63,120,22,0,5,36,41,0,83,3,9,1,14,13,3,.263,.327,.344,.670,*465/H7
55,Carlos Asuaje\asuajca01,343,89,307,28,83,14,1,4,21,28,0,76,2,5,1,6,0,1,.270,.334,.362,.696,*4/H3
56,Rich Aurilia\aurilri01,468,114,426,61,120,23,2,14,68,37,2,67,1,1,3,8,2,0,.282,.338,.444,.782,*465/H
57,Mike Aviles\avilemi01,448,110,424,63,129,16,3,8,32,20,0,49,1,0,3,13,14,5,.304,.335,.413,.748,*46/H5D
58,Wally Backman\backmwa01,347,99,294,44,89,12,0,0,17,41,1,49,1,9,2,6,9,5,.303,.388,.344,.731,*4H
59,Wally Backman\backmwa01,574,145,520,77,142,24,5,1,38,36,1,72,1,14,3,3,30,12,.273,.320,.344,.664,*4H/6
60,Wally Backman\backmwa01,337,87,299,33,69,9,2,1,26,32,0,45,1,4,1,4,1,1,.231,.306,.284,.591,*4/HD
61,Wally Backman\backmwa01,440,124,387,67,124,18,2,1,27,36,1,32,0,14,3,3,13,7,.320,.376,.385,.761,*4H
62,Wally Backman\backmwa01,335,94,300,43,75,6,1,1,23,25,0,43,0,9,1,5,11,3,.250,.307,.287,.593,*4H
63,Carlos Baerga\baergca01,469,103,442,81,139,32,2,19,80,10,1,45,6,3,8,10,8,2,.314,.333,.525,.858,*4/D
64,Carlos Baerga\baergca01,600,135,557,87,175,28,2,15,90,35,6,31,3,0,5,15,11,2,.314,.355,.452,.807,*4/HD
65,Carlos Baerga\baergca01,498,133,467,53,131,25,1,9,52,20,1,54,3,3,5,13,2,6,.281,.311,.396,.707,*4/H
66,Carlos Baerga\baergca01,551,147,511,46,136,27,1,7,53,24,6,55,6,3,7,21,0,1,.266,.303,.364,.667,*4/H
67,Carlos Baerga\baergca01,544,126,507,59,129,28,0,12,66,21,0,27,9,2,5,23,1,1,.254,.293,.381,.674,*43/H5
68,Carlos Baerga\baergca01,680,154,624,105,200,28,6,21,114,34,7,68,6,3,13,17,15,4,.321,.355,.486,.840,*4/DH
69,Carlos Baerga\baergca01,716,161,657,92,205,32,1,20,105,35,10,76,13,2,9,15,10,2,.312,.354,.455,.809,*4/D
70,Javier Baez\baezja01,645,160,606,101,176,40,9,34,111,29,8,167,5,1,4,10,21,9,.290,.326,.554,.881,*465/H3
71,Jeff Baker\bakerje03,333,104,299,55,80,22,1,12,48,26,2,85,1,1,6,5,4,0,.268,.322,.468,.791,4H3/59D
72,Bret Barberie\barbebr01,424,99,375,45,104,16,2,5,33,33,2,58,7,5,3,7,2,4,.277,.344,.371,.715,*4/H
73,Bret Barberie\barbebr01,406,107,372,40,112,20,2,5,31,23,3,65,9,2,0,4,2,0,.301,.356,.406,.762,*4/H
74,Bret Barberie\barbebr01,288,90,237,32,57,14,0,2,25,36,0,50,6,6,3,6,3,3,.241,.351,.325,.676,*4H/D5
75,Josh Barfield\barfijo02,578,150,539,72,151,32,3,13,58,30,7,81,2,2,5,8,21,5,.280,.318,.423,.741,*4/H
76,Josh Barfield\barfijo02,444,130,420,53,102,19,3,3,50,14,0,90,3,3,4,3,14,5,.243,.270,.324,.594,*4H/D
77,Clint Barmes\barmecl01,417,107,393,47,114,25,6,11,44,17,0,69,2,4,1,9,13,4,.290,.322,.468,.790,*465H/9
78,Clint Barmes\barmecl01,432,133,387,43,91,21,0,8,50,35,10,66,5,2,3,5,3,2,.235,.305,.351,.656,*46/H5
79,Clint Barmes\barmecl01,604,154,550,69,135,32,3,23,76,31,2,121,10,6,7,6,12,10,.245,.294,.440,.734,*46/H
80,Darwin Barney\barneda01,588,156,548,73,139,26,4,7,44,33,1,58,3,3,1,11,6,1,.254,.299,.354,.653,*4/H6
81,Darwin Barney\barneda01,555,141,501,49,104,25,1,7,41,36,5,64,6,4,6,22,4,2,.208,.266,.303,.569,*4/H
82,Darwin Barney\barneda01,571,143,529,66,146,23,6,2,43,22,2,67,8,7,4,14,9,2,.276,.313,.353,.666,*4/H6
83,Darwin Barney\barneda01,262,94,237,24,57,11,2,3,23,17,2,34,4,2,2,1,1,0,.241,.300,.342,.642,*4H/6
84,Marty Barrett\barrema02,638,137,559,72,164,23,0,3,43,51,0,38,1,22,5,11,15,2,.293,.351,.351,.701,*4
85,Marty Barrett\barrema02,687,150,612,83,173,28,1,1,65,40,1,35,7,20,8,16,7,3,.283,.330,.337,.666,*4/H
86,Marty Barrett\barrema02,390,86,336,31,86,18,0,1,27,32,0,12,2,15,5,12,4,1,.256,.320,.318,.638,*4/HD
87,Marty Barrett\barrema02,608,156,534,59,142,26,0,5,56,56,3,50,2,12,4,14,7,5,.266,.336,.343,.678,*4/H
88,Marty Barrett\barrema02,713,158,625,94,179,39,4,4,60,65,0,31,1,18,4,13,15,7,.286,.353,.381,.733,*4
89,Jason Bates\batesja01,368,116,322,42,86,17,4,8,46,42,3,70,2,2,0,4,3,6,.267,.355,.419,.774,*465H
90,Tony Batista\batisto01,260,74,238,38,71,10,2,6,25,19,0,49,1,0,2,2,7,3,.298,.350,.433,.783,*45H/6D
91,Gordon Beckham\beckhgo01,408,103,371,46,99,22,1,5,24,28,2,56,4,1,4,10,5,1,.267,.322,.372,.694,*4/6H
92,Gordon Beckham\beckhgo01,557,150,499,60,115,23,0,10,44,35,0,111,13,7,3,6,5,3,.230,.296,.337,.633,*4/HD
93,Gordon Beckham\beckhgo01,582,151,525,62,123,24,0,16,60,40,0,89,7,8,2,10,5,4,.234,.296,.371,.668,*4/HD
94,Gordon Beckham\beckhgo01,483,127,446,53,101,27,0,9,44,22,2,81,7,3,5,17,3,0,.226,.271,.348,.618,*45/H6D
95,Gordon Beckham\beckhgo01,498,131,444,58,112,25,2,9,49,37,0,92,7,6,4,9,4,6,.252,.317,.378,.695,*4/HD
96,Gordon Beckham\beckhgo01,279,88,245,25,52,16,1,5,31,26,1,52,4,0,4,12,1,0,.212,.294,.347,.641,*4H56
97,David Bell\bellda01,667,157,597,92,160,31,2,21,78,58,0,90,2,3,7,7,7,4,.268,.331,.432,.763,*4/3H6
98,David Bell\bellda01,464,132,429,48,117,30,2,10,49,27,4,65,2,1,5,11,0,4,.273,.315,.422,.737,*45/3H67
99,Jay Bell\bellja01,509,129,428,59,106,24,1,13,46,65,3,79,4,8,4,9,0,1,.248,.349,.400,.749,*45H/D
100,Jay Bell\bellja01,688,151,589,132,170,32,6,38,112,82,2,132,4,4,9,9,7,4,.289,.374,.557,.931,*4/HD6
101,Jay Bell\bellja01,649,149,565,87,151,30,6,18,68,70,0,88,3,6,5,7,7,3,.267,.348,.437,.786,*4/HD
102,Mark Bellhorn\bellhma01,355,94,300,43,63,20,0,8,30,52,1,112,0,0,3,4,3,0,.210,.324,.357,.681,*4/56H
103,Mark Bellhorn\bellhma01,620,138,523,93,138,37,3,17,82,88,1,177,5,1,3,8,6,1,.264,.373,.444,.817,*45/H6D
104,Ronnie Belliard\belliro01,667,152,571,83,150,30,9,8,54,82,4,84,3,4,7,12,7,5,.263,.354,.389,.743,*4/H
105,Ronnie Belliard\belliro01,410,101,364,69,96,30,3,11,36,35,2,65,5,4,2,5,5,2,.264,.335,.453,.788,*4/H
106,Ronnie Belliard\belliro01,505,116,447,73,124,31,2,8,50,49,0,71,2,6,1,7,7,2,.277,.351,.409,.760,*4/H
107,Ronnie Belliard\belliro01,663,152,599,78,169,48,1,12,70,60,5,98,2,0,2,18,3,2,.282,.348,.426,.774,*4/HD
108,Ronnie Belliard\belliro01,287,110,264,39,73,14,1,10,39,20,0,56,0,1,2,10,3,0,.277,.325,.451,.776,*4H35
109,Ronnie Belliard\belliro01,587,145,536,71,152,36,1,17,78,35,0,72,1,8,7,17,2,2,.284,.325,.450,.774,*4/H
110,Ronnie Belliard\belliro01,590,147,544,63,148,30,1,13,67,36,2,81,5,3,2,17,2,3,.272,.322,.403,.725,*4/H5
111,Ronnie Belliard\belliro01,531,124,457,60,135,29,4,8,58,64,0,59,0,6,4,16,4,5,.295,.379,.429,.808,*4/H65
112,Ronnie Belliard\belliro01,557,147,511,57,148,35,1,11,58,34,1,72,1,6,5,12,3,0,.290,.332,.427,.759,*4H/36D5
113,Mike Benjamin\benjami01,385,124,349,46,95,23,0,4,39,15,1,73,6,13,2,11,3,0,.272,.312,.372,.684,*46H53/D
114,Tony Bernazard\bernato01,579,153,500,73,137,26,3,11,59,69,2,72,1,5,4,11,17,9,.274,.361,.404,.765,*4H/6
115,Tony Bernazard\bernato01,636,146,562,88,169,28,4,17,73,53,5,77,6,7,8,6,17,8,.301,.362,.456,.818,*4/H
116,Tony Bernazard\bernato01,573,140,507,73,127,26,2,14,49,55,2,79,1,7,3,10,11,8,.250,.323,.393,.716,*4/HD
117,Cavan Biggio\biggica01,430,100,354,66,83,17,2,16,48,71,0,123,2,0,2,0,14,0,.234,.364,.429,.793,*4/39DH7
118,Craig Biggio\biggicr01,651,155,590,94,156,40,1,26,69,37,2,90,17,4,3,10,11,1,.264,.325,.468,.792,*4/HD
119,Craig Biggio\biggicr01,511,114,437,88,139,44,5,6,56,62,1,58,8,2,2,5,39,4,.318,.411,.483,.893,*4/H
120,Craig Biggio\biggicr01,717,155,617,118,180,35,3,20,70,66,4,100,28,0,6,11,7,4,.292,.382,.455,.838,*4/HD
121,Craig Biggio\biggicr01,555,141,517,68,130,31,3,10,50,23,0,112,3,7,5,5,4,3,.251,.285,.381,.666,*4H/D2
122,Craig Biggio\biggicr01,673,141,553,123,167,30,2,22,77,80,1,85,22,11,7,6,33,8,.302,.406,.483,.889,*4/H
123,Craig Biggio\biggicr01,655,145,577,96,146,36,3,15,58,50,2,111,17,9,2,15,16,2,.253,.330,.404,.734,*4/H7
124,Craig Biggio\biggicr01,607,145,548,79,135,33,0,21,62,40,1,84,9,5,5,15,3,2,.246,.306,.422,.727,*4H/D
125,Craig Biggio\biggicr01,723,162,605,113,174,24,4,15,75,75,0,72,27,8,8,10,25,7,.288,.386,.415,.801,*4
126,Craig Biggio\biggicr01,466,101,377,67,101,13,5,8,35,61,3,73,16,7,5,10,12,2,.268,.388,.393,.780,*4/H
127,Craig Biggio\biggicr01,721,162,613,96,170,32,3,6,39,94,9,95,7,5,2,5,38,15,.277,.378,.369,.747,*4/H
128,Craig Biggio\biggicr01,744,162,619,146,191,37,8,22,81,84,6,107,34,0,7,0,47,10,.309,.415,.501,.916,*4/HD
129,Craig Biggio\biggicr01,749,160,639,123,188,56,0,16,73,88,9,107,11,5,6,5,28,14,.294,.386,.457,.843,*4/7HD
130,Craig Biggio\biggicr01,707,155,610,98,175,41,5,21,64,77,7,93,10,4,5,10,15,17,.287,.373,.474,.847,*4
131,Craig Biggio\biggicr01,738,160,646,123,210,51,2,20,88,64,6,113,23,1,4,10,50,8,.325,.403,.503,.906,*4/HD
132,Lance Blankenship\blankla02,446,123,349,59,84,24,1,3,34,82,2,57,6,8,1,10,21,7,.241,.393,.341,.734,*4798H/3D
133,Geoff Blum\blumge01,370,122,330,34,83,21,1,5,33,32,4,52,2,3,3,10,0,0,.252,.319,.367,.685,*4H56/7D3
134,Emilio Bonifacio\bonifem01,461,136,420,54,102,22,3,3,31,30,0,103,2,6,3,4,28,8,.243,.295,.331,.625,*47H8/596D
135,Juan Bonilla\bonilju01,316,102,284,33,69,10,1,1,18,25,0,21,3,4,0,14,0,0,.243,.311,.296,.607,*45H/D
136,Bret Boone\boonebr01,658,148,593,74,149,30,0,24,83,56,2,135,3,2,4,18,10,5,.251,.317,.423,.740,*4
137,Bret Boone\boonebr01,360,88,326,33,72,15,3,7,37,28,2,65,4,1,1,12,4,2,.221,.290,.350,.639,*4
138,Bret Boone\boonebr01,302,76,271,31,68,12,2,12,38,17,1,52,4,6,4,6,2,3,.251,.301,.443,.743,*4/HD
139,Bret Boone\boonebr01,424,108,381,59,122,25,2,12,68,24,1,74,8,5,6,10,3,4,.320,.368,.491,.858,*4/H5
140,Bret Boone\boonebr01,571,138,513,63,137,34,2,15,68,41,0,84,6,5,5,14,5,1,.267,.326,.429,.755,*4
141,Bret Boone\boonebr01,690,158,623,118,206,37,3,37,141,40,5,110,9,5,13,11,5,5,.331,.372,.578,.950,*4/HD
142,Bret Boone\boonebr01,568,142,520,56,121,21,3,12,69,31,0,100,3,5,9,9,3,2,.233,.275,.354,.629,*4/H
143,Bret Boone\boonebr01,675,155,608,88,169,34,3,24,107,53,4,102,6,2,6,11,12,5,.278,.339,.462,.801,*4/HD
144,Bret Boone\boonebr01,501,139,443,40,99,25,1,7,46,45,4,101,4,4,5,11,5,5,.223,.298,.332,.630,*4/H
145,Bret Boone\boonebr01,648,157,583,76,155,38,1,24,95,48,3,104,4,9,4,23,6,4,.266,.324,.458,.782,*4/H
146,Bret Boone\boonebr01,671,152,608,102,153,38,1,20,63,47,0,112,5,9,2,11,14,9,.252,.310,.416,.726,*4/H
147,Bret Boone\boonebr01,525,127,463,61,116,18,2,19,74,50,7,97,5,0,7,11,8,4,.251,.326,.421,.747,*4/H
148,Bret Boone\boonebr01,705,159,622,111,183,35,5,35,117,68,3,125,7,1,7,17,16,3,.294,.366,.535,.902,*4
149,Mike Bordick\bordimi01,572,154,504,62,151,19,4,3,48,40,2,59,9,14,5,10,12,6,.300,.358,.371,.729,*46/H
150,Rafael Bournigal\bournra01,277,88,252,33,61,14,2,0,18,16,0,19,1,8,0,6,4,3,.242,.290,.313,.603,*46H
151,Reid Brignac\brignre01,326,113,301,39,77,13,1,8,45,20,3,77,3,0,2,6,3,3,.256,.307,.385,.692,*46H/9D
152,Jerry Browne\brownje01,610,140,513,92,137,26,5,6,50,72,1,46,2,12,11,12,12,7,.267,.353,.372,.725,*4/H
153,Jerry Browne\brownje01,526,132,454,63,123,16,6,1,38,61,0,50,2,7,2,6,27,17,.271,.358,.339,.698,*4/HD
154,Jerry Browne\brownje01,685,153,598,83,179,31,4,5,45,68,10,64,1,14,4,9,14,6,.299,.370,.390,.759,*4/HD
155,Chris Burke\burkech01,413,123,366,58,101,23,1,9,40,27,0,77,14,4,2,6,11,1,.276,.347,.418,.765,*487H/69
156,Chris Burke\burkech01,363,111,319,39,73,19,2,6,28,27,1,52,8,8,1,10,9,3,.229,.304,.357,.662,*48H9/67
157,Homer Bush\bushho01,325,76,297,38,64,8,0,1,18,18,0,60,5,4,1,10,9,4,.215,.271,.253,.524,*4/H
158,Homer Bush\bushho01,291,78,271,32,83,11,1,3,27,8,1,50,6,2,4,2,13,4,.306,.336,.387,.723,*4/H
159,Homer Bush\bushho01,523,128,485,69,155,26,4,5,55,21,0,82,6,8,3,9,32,8,.320,.353,.421,.774,*46/H
160,Brent Butler\butlebr02,367,113,344,55,89,18,4,9,42,10,3,40,5,4,4,6,2,6,.259,.287,.413,.699,*45H6
161,Asdrubal Cabrera\cabreas01,592,147,546,68,143,36,1,23,75,41,1,119,3,0,2,16,0,0,.262,.316,.458,.774,*465H/D
162,Asdrubal Cabrera\cabreas01,418,114,352,48,91,20,0,6,47,46,2,77,4,11,5,8,4,4,.259,.346,.366,.713,*46/HD
163,Orlando Cabrera\cabreor01,477,130,450,39,107,16,0,5,51,17,0,57,3,1,6,12,8,4,.238,.267,.307,.573,*46/H5D
164,Miguel Cairo\cairomi01,508,120,465,61,137,15,5,3,36,24,0,46,7,7,5,13,22,7,.295,.335,.368,.703,*4/HD
165,Miguel Cairo\cairomi01,417,119,375,49,98,18,2,1,34,29,0,34,2,6,5,7,28,7,.261,.314,.328,.642,*4H/D
166,Miguel Cairo\cairomi01,408,122,360,48,105,17,5,6,42,18,1,49,14,12,4,7,11,3,.292,.346,.417,.763,*4/56H3
167,Miguel Cairo\cairomi01,558,150,515,49,138,26,5,5,46,24,0,44,6,11,2,9,19,8,.268,.307,.367,.674,*4/HD
168,Miguel Cairo\cairomi01,367,100,327,31,82,18,0,2,19,19,2,31,4,12,5,5,13,3,.251,.296,.324,.620,*4H/3579
169,Alberto Callaspo\callaal01,634,155,576,79,173,41,8,11,73,52,4,51,1,0,5,15,2,1,.300,.356,.457,.813,*45/H6
170,Casey Candaele\candaca01,505,151,461,44,121,20,7,4,50,40,7,49,0,1,3,5,9,3,.262,.319,.362,.682,*4H75/89
171,Jay Canizaro\canizja01,371,102,346,43,93,21,1,7,40,24,0,57,1,0,0,8,4,2,.269,.318,.396,.714,*4H/D
172,Robinson Cano\canoro01,423,107,390,46,100,28,0,13,39,25,3,69,5,0,3,16,0,0,.256,.307,.428,.736,*4/HD
173,Robinson Cano\canoro01,348,80,310,44,94,22,0,10,50,32,2,47,4,0,2,9,0,0,.303,.374,.471,.845,*43/D5H
174,Robinson Cano\canoro01,508,122,482,62,165,41,1,15,78,18,3,54,2,1,5,19,5,2,.342,.365,.525,.890,*4/DH
175,Robinson Cano\canoro01,715,161,655,107,195,33,2,39,103,47,8,100,8,0,5,18,0,1,.298,.350,.533,.882,*4/D
176,Robinson Cano\canoro01,681,159,623,104,188,46,7,28,118,38,11,96,12,0,8,18,8,2,.302,.349,.533,.882,*4/DH
177,Robinson Cano\canoro01,681,160,605,81,190,41,0,27,107,65,16,85,6,0,5,18,7,1,.314,.383,.516,.899,*4/D6
178,Robinson Cano\canoro01,665,157,595,77,187,37,2,14,82,61,20,68,6,0,3,19,10,3,.314,.382,.454,.836,*4/D
179,Robinson Cano\canoro01,674,156,624,82,179,34,1,21,79,43,5,107,3,0,4,26,2,6,.287,.334,.446,.779,*4/DH
180,Robinson Cano\canoro01,551,132,522,78,155,34,4,14,62,16,1,68,3,7,3,16,1,3,.297,.320,.458,.778,*4/H
181,Robinson Cano\canoro01,669,160,617,93,189,41,7,19,97,39,5,85,8,1,4,19,4,5,.306,.353,.488,.841,*4/H
182,Robinson Cano\canoro01,634,159,597,70,162,35,3,14,72,26,3,65,5,1,5,18,2,4,.271,.305,.410,.715,*4/H
183,Robinson Cano\canoro01,674,161,637,103,204,48,2,25,85,30,2,63,3,0,4,22,5,7,.320,.352,.520,.871,*4/H
184,Robinson Cano\canoro01,697,161,627,105,196,48,1,33,94,61,10,96,7,0,2,22,3,2,.313,.379,.550,.929,*4/DH
185,Robinson Cano\canoro01,696,160,626,103,200,41,3,29,109,57,14,77,8,0,5,19,3,2,.319,.381,.534,.914,*4/DH
186,Robinson Cano\canoro01,648,150,592,79,166,33,0,23,97,49,8,85,4,0,3,18,1,0,.280,.338,.453,.791,*4/H
187,Jorge Cantu\cantujo01,448,107,413,40,103,18,2,14,62,26,2,91,3,0,6,16,1,1,.249,.295,.404,.699,*4/HD
188,Matt Carpenter\carpema01,717,157,626,126,199,55,7,11,78,72,1,98,9,3,7,4,3,3,.318,.392,.481,.873,*45/H39
189,Jamey Carroll\carroja01,358,93,315,53,87,10,2,2,26,36,0,63,3,3,1,8,4,2,.276,.355,.340,.695,*45H/97D
190,Jamey Carroll\carroja01,534,136,463,84,139,23,5,5,36,56,1,66,3,9,3,10,10,12,.300,.377,.404,.781,*4H6/5
191,Jamey Carroll\carroja01,268,108,227,45,51,9,1,2,22,28,1,34,4,6,3,2,6,2,.225,.317,.300,.616,*45H6/98
192,Jamey Carroll\carroja01,256,102,218,36,63,14,2,0,16,32,1,21,1,2,3,3,5,1,.289,.378,.372,.750,*4H56/7
193,Jamey Carroll\carroja01,402,113,347,60,96,13,4,1,36,34,0,65,9,10,2,2,7,3,.277,.355,.346,.700,*45H/7
194,Alexi Casilla\casilal01,437,98,385,58,108,15,0,7,50,31,0,45,2,13,6,7,7,2,.281,.333,.374,.707,*4/6HD
195,Alexi Casilla\casilal01,326,106,299,33,72,17,2,1,30,16,0,52,3,3,5,6,21,1,.241,.282,.321,.603,*4H/5
196,Alexi Casilla\casilal01,256,80,228,25,46,7,3,0,17,22,0,36,3,2,1,6,11,0,.202,.280,.259,.538,*4H/D6
197,Jose Castillo\castijo02,414,129,383,44,98,15,2,8,39,23,5,92,1,5,2,12,3,2,.256,.298,.368,.666,*4/H6
198,Jose Castillo\castijo02,398,101,370,49,99,16,3,11,53,23,3,59,0,1,4,11,2,3,.268,.307,.416,.724,*4/H
